accuracy,loss,val_accuracy,val_loss
0.8095296025276184,0.38551127910614014,0.8594748377799988,0.3704034388065338
0.8629286289215088,0.3143223524093628,0.870705246925354,0.3338296413421631
0.8712446093559265,0.2979501783847809,0.8813270926475525,0.3255162537097931
0.872248113155365,0.2883233428001404,0.8772696256637573,0.3176155984401703
0.872757077217102,0.28116655349731445,0.8813343048095703,0.30729660391807556
0.8727172017097473,0.27620312571525574,0.8762770295143127,0.3014139235019684
0.8727136254310608,0.27170732617378235,0.8780086636543274,0.2973776161670685
0.8758870959281921,0.269634485244751,0.8828341364860535,0.29470565915107727
0.8745376467704773,0.2684785723686218,0.8928255438804626,0.2892592251300812
0.8740956783294678,0.26761192083358765,0.8785592913627625,0.2873823940753937
0.8745376467704773,0.26485511660575867,0.8775811791419983,0.29265502095222473
0.8773325681686401,0.26456522941589355,0.883109450340271,0.2874992787837982
0.877780020236969,0.2636485695838928,0.8834717273712158,0.2855373024940491
0.8758907318115234,0.26303914189338684,0.8866669535636902,0.28613319993019104
0.8772836923599243,0.26234179735183716,0.8825515508651733,0.29110968112945557
0.8770771622657776,0.2621906101703644,0.8733498454093933,0.2926081418991089
0.8774213194847107,0.261846125125885,0.8842614889144897,0.28108182549476624
0.8769069314002991,0.26131966710090637,0.8767334818840027,0.2918875515460968
0.8778488039970398,0.2598603069782257,0.8887101411819458,0.2790706157684326
0.8782400488853455,0.25983017683029175,0.8884855508804321,0.28627172112464905
0.8776314854621887,0.2594904601573944,0.8856381177902222,0.2825463116168976
0.8780027627944946,0.2592620551586151,0.8860365748405457,0.28317081928253174
0.878049910068512,0.25858157873153687,0.8928908109664917,0.27670422196388245
0.8781024217605591,0.25856396555900574,0.8789433240890503,0.2830806374549866
0.8782237768173218,0.2574295699596405,0.8836891055107117,0.2792377471923828
0.8776477575302124,0.2586574852466583,0.8912532925605774,0.28052929043769836
0.8777546286582947,0.25763919949531555,0.8870871663093567,0.2784231901168823
0.8783650398254395,0.2566106617450714,0.8863626718521118,0.281814843416214
