Experiment,Validation balanced accuracy,Validation macro F1,Training seconds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
3,0.9100993529442588,0.7583382790299832,2.3661432000003515,300,5,0.03,0.8,0.8,1,0.0,1.0
2,0.9099464654695165,0.760747965928631,1.659311500000058,200,5,0.05,0.8,0.8,1,0.0,1.0
4,0.9096063233274254,0.7561640461493807,1.2144521000000168,200,4,0.08,1.0,0.8,1,0.0,1.0
7,0.9094480108026826,0.7506524647124914,2.34541420000005,300,4,0.04,0.9,0.9,2,0.0,2.0
8,0.9093464963611607,0.7759817532661636,1.762533899999653,180,6,0.06,0.8,0.9,2,0.1,2.0
6,0.9086429837442437,0.7633294485782366,2.212199800000235,250,5,0.05,0.9,1.0,1,0.1,1.0
5,0.9080999280442584,0.779238694757893,2.5938444000003074,250,6,0.05,0.8,0.8,3,0.0,1.0
1,0.9078921827499896,0.7398717059207267,1.9442634000001817,150,4,0.05,0.8,0.8,1,0.0,1.0
